gains,delta_deg,barrier_limit_deg,false_switch_cap_deg,effective_certified_deg,binding_constraint,observed_boundary_threshold_deg,observed_minus_barrier_deg,certified_fraction_of_observed,worst_e_theta_deg,worst_side,worst_psi_hat_rad,h_theta_sup_ms_zero_update_error,rate_infimum_hz_zero_update_error,d_bar
"(2,1,1)",18.0,12.854682427511397,18.0,12.854682427511397,barrier,22.098321088035846,9.24363866052445,0.5817040297450919,22.098321088035846,-1,-5.026548245743669,24.74820735610988,40.406967082935736,0.0
"(2,1,0.3)",18.0,28.909054468508593,18.0,18.0,false-switch,37.757138805612826,8.848084337104233,0.7656579757630122,37.757138805612826,-1,-5.026548245743669,68.4931506849315,14.600000000000001,0.0
"(1,2,1)",18.0,22.0454212896588,18.0,18.0,false-switch,33.452933770317784,11.407512480658985,0.6589981447073956,33.452933770317784,-1,-5.026548245743669,28.57142857142857,35.0,0.0
"(1,2,0.3)",18.0,42.839041045451445,18.0,18.0,false-switch,52.93485193380157,10.095810888350123,0.8092785656418652,52.93485193380157,-1,-5.026548245743669,51.020408163265316,19.599999999999998,0.0
