k_psi_over_k_theta,theta_star,initial_bearing_grid_max,theorem_envelope_on_grid,observed_reach,Theta,condition_C_holds,worst_theta0,worst_w0,protocol
0.2,0.8297208174516464,1.0,1.0,1.0,1.8849555921538759,True,1.0,-6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
0.6222222222222222,1.2022243968863062,1.0,1.2022243968863062,1.1794838892828459,1.8849555921538759,True,1.0,6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
1.0444444444444445,1.3192251537568693,1.0,1.3192251537568693,1.30668748405121,1.8849555921538759,True,1.0,6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
1.4666666666666666,1.3786087403036684,1.0,1.3786087403036684,1.3711724747970828,1.8849555921538759,True,1.0,6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
1.8888888888888888,nan,1.0,nan,1.4101212276171526,1.8849555921538759,False,1.0,6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
2.3111111111111113,nan,1.0,nan,1.4362352361289508,1.8849555921538759,False,1.0,6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
2.7333333333333334,nan,1.0,nan,1.4549925019952634,1.8849555921538759,False,1.0,-6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
3.155555555555556,nan,1.0,nan,1.4691392396786827,1.8849555921538759,False,1.0,-6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
3.577777777777778,nan,1.0,nan,1.4801823021448983,1.8849555921538759,False,1.0,-6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
4.0,nan,1.0,nan,1.4890464678437025,1.8849555921538759,False,1.0,-6.911503837897545,"original forward-Euler grid: theta0=0:0.1:1.0, 23 w0 values"
